,X,Y,Lipid Type,resid,Order
340,80.95633000000001,81.92426999999999,DOPC,2341,Ordered
341,219.17017,170.92685,DOPC,2342,Ordered
342,466.85400000000004,455.43145999999996,DOPC,2343,Ordered
343,149.09502,220.52702000000002,DOPC,2344,DOPC CHOL
344,216.20985,449.8447,DOPC,2345,DOPC CHOL
345,215.37772999999999,337.04984,DOPC,2346,DOPC CHOL
346,430.84722999999997,333.06305,DOPC,2347,DOPC CHOL
347,391.75504,286.34454,DOPC,2348,DOPC CHOL
348,77.64311,315.59265,DOPC,2349,DOPC CHOL
349,320.505,61.14804,DOPC,2350,Ordered
350,444.42925999999994,528.48474,DOPC,2351,Ordered
351,419.05978,396.04852,DOPC,2352,DOPC CHOL
352,99.01819,75.06703,DOPC,2353,Ordered
353,503.67657,295.99384,DOPC,2354,DOPC CHOL
354,359.96036000000004,456.74435,DOPC,2355,DOPC CHOL
355,206.08545,317.13055,DOPC,2356,DOPC CHOL
356,432.1438,34.939743,DOPC,2357,Ordered
357,311.2858,405.51617000000005,DOPC,2358,DOPC CHOL
358,140.33145,24.795784,DOPC,2359,Ordered
359,539.5067,488.63925,DOPC,2360,DOPC CHOL
360,436.19714000000005,112.54762,DOPC,2361,Ordered
361,452.9909,371.15903,DOPC,2362,DOPC CHOL
362,75.68251,265.56927,DOPC,2363,DOPC CHOL
363,484.26453,42.441795,DOPC,2364,Ordered
364,59.523247,116.0453,DOPC,2365,Ordered
365,449.7262,67.5223,DOPC,2366,Ordered
366,217.23315,96.74368,DOPC,2367,Ordered
367,220.93687000000003,376.3935,DOPC,2368,DOPC CHOL
368,502.94254000000006,359.17102,DOPC,2369,DOPC CHOL
369,316.24756,346.43256,DOPC,2370,DOPC CHOL
370,162.22852,436.6772,DOPC,2371,DOPC CHOL
371,421.09952000000004,277.44192999999996,DOPC,2372,DOPC CHOL
372,183.71298000000002,20.709923,DOPC,2373,Ordered
373,159.14373999999998,393.6872,DOPC,2374,DOPC CHOL
374,497.767,243.38332999999997,DOPC,2375,DOPC CHOL
375,425.35873,515.6005,DOPC,2376,Ordered
376,254.2146,290.2334,DOPC,2377,DOPC CHOL
377,518.30383,52.05665,DOPC,2378,Ordered
378,48.017754,91.587944,DOPC,2379,DOPC CHOL
379,405.0957,97.39574,DOPC,2380,Ordered
380,254.16704,167.51838999999998,DOPC,2381,Ordered
381,275.7535,257.18875,DOPC,2382,DOPC CHOL
382,223.07602999999997,273.94794,DOPC,2383,DOPC CHOL
383,455.11163,177.26503,DOPC,2384,DOPC CHOL
384,493.0902,44.49703,DOPC,2385,DOPC CHOL
385,404.34967,222.77411,DOPC,2386,DOPC CHOL
386,523.2947,521.6454,DOPC,2387,Ordered
387,7.1030955,268.1636,DOPC,2388,DOPC CHOL
388,377.27673,337.89447,DOPC,2389,Ordered
389,112.73682,264.13593,DOPC,2390,DOPC CHOL
390,525.2378,110.93853999999999,DOPC,2391,Ordered
391,330.3612,375.9668,DOPC,2392,Ordered
392,1.0145074,272.33423,DOPC,2393,DOPC CHOL
393,145.01971,308.2823,DOPC,2394,DOPC CHOL
394,499.64832,436.45157,DOPC,2395,DOPC CHOL
395,403.94962000000004,248.28026,DOPC,2396,DOPC CHOL
396,295.4657,48.60962,DOPC,2397,Ordered
397,42.085175,438.15722999999997,DOPC,2398,DOPC CHOL
398,525.4416,454.9971,DOPC,2399,DOPC CHOL
399,229.8262,200.3589,DOPC,2400,DOPC CHOL
400,155.20076,324.23712,DOPC,2401,DOPC CHOL
401,366.0507,530.7507,DOPC,2402,Ordered
402,376.0152,14.220757999999998,DOPC,2403,Ordered
403,140.0831,49.31357,DOPC,2404,Ordered
404,454.8212,315.5937,DOPC,2405,Ordered
405,143.38863999999998,16.789381,DOPC,2406,Ordered
406,245.38492000000002,297.40213,DOPC,2407,DOPC CHOL
407,276.59644,120.336266,DOPC,2408,Ordered
408,120.54481499999999,529.57227,DOPC,2409,Ordered
409,55.7181,94.014084,DOPC,2410,Ordered
410,425.76654,203.74588,DOPC,2411,DOPC CHOL
411,312.41177000000005,450.33032000000003,DOPC,2412,DOPC CHOL
412,293.16714,263.88202,DOPC,2413,DOPC CHOL
413,275.14142000000004,231.43837000000002,DOPC,2414,DOPC CHOL
414,210.3942,86.54759,DOPC,2415,Ordered
415,232.73622000000003,250.87004,DOPC,2416,DOPC CHOL
416,313.2166,195.0387,DOPC,2417,Ordered
417,465.06323,306.40502999999995,DOPC,2418,DOPC CHOL
418,532.06934,252.11782999999997,DOPC,2419,DOPC CHOL
419,461.7535,246.26924,DOPC,2420,DOPC CHOL
420,30.314567999999998,310.7727,DOPC,2421,DOPC CHOL
421,373.23724,261.46826,DOPC,2422,DOPC CHOL
422,72.80306999999999,25.980223000000002,DOPC,2423,Ordered
423,368.1958,280.46188,DOPC,2424,DOPC CHOL
424,259.59418,42.54222,DOPC,2425,Ordered
425,208.74763000000002,478.80658,DOPC,2426,Ordered
426,401.02542,169.51158,DOPC,2427,DOPC CHOL
427,490.8844,431.58685,DOPC,2428,DOPC CHOL
428,492.9972,101.728806,DOPC,2429,Ordered
429,3.9645836,124.01656000000001,DOPC,2430,Ordered
430,407.56146,255.94672999999997,DOPC,2431,DOPC CHOL
431,62.873034999999994,120.79463999999999,DOPC,2432,Ordered
432,240.45845,539.595,DOPC,2433,DOPC CHOL
433,320.16402999999997,123.93605,DOPC,2434,Ordered
434,74.26047,16.524546,DOPC,2435,Ordered
435,140.88623,415.2718,DOPC,2436,DOPC CHOL
436,426.65778,370.92868,DOPC,2437,DOPC CHOL
437,136.28316999999998,249.7014,DOPC,2438,DOPC CHOL
438,178.23474,23.377312,DOPC,2439,Ordered
439,463.09027000000003,162.63573,DOPC,2440,DOPC CHOL
440,309.143,344.3709,DOPC,2441,DOPC CHOL
441,395.5338,21.09824,DOPC,2442,Ordered
442,129.84688,304.2912,DOPC,2443,DOPC CHOL
443,399.31647000000004,459.16497999999996,DOPC,2444,DOPC CHOL
444,450.32642000000004,393.1065,DOPC,2445,DOPC CHOL
445,356.12537000000003,248.07092000000003,DOPC,2446,DOPC CHOL
446,302.78876,336.81305,DOPC,2447,DOPC CHOL
447,134.92181000000002,268.08453,DOPC,2448,DOPC CHOL
448,350.61536,475.15033,DOPC,2449,Ordered
449,433.8761,339.6613,DOPC,2450,DOPC CHOL
450,122.07481999999999,272.35815,DOPC,2451,DOPC CHOL
451,458.43994000000004,343.39435,DOPC,2452,DOPC CHOL
452,51.808246999999994,257.8393,DOPC,2453,DOPC CHOL
453,513.2608,200.32419,DOPC,2454,DOPC CHOL
454,299.3553,362.08887000000004,DOPC,2455,DOPC CHOL
455,414.42502,386.51828,DOPC,2456,DOPC CHOL
456,6.963700299999999,238.24782000000002,DOPC,2457,DOPC CHOL
457,173.02798,98.4079,DOPC,2458,Ordered
458,108.7216,309.05713,DOPC,2459,DOPC CHOL
459,121.27828999999998,524.03265,DOPC,2460,Ordered
460,87.49603,286.72717,DOPC,2461,DOPC CHOL
461,26.401619,182.90434,DOPC,2462,DOPC CHOL
462,348.67224,539.21533,DOPC,2463,Ordered
463,273.20007000000004,405.72742,DOPC,2464,DOPC CHOL
464,281.9585,225.83116,DOPC,2465,DOPC CHOL
465,234.58527,348.5357,DOPC,2466,DOPC CHOL
466,118.10666,144.1889,DOPC,2467,Ordered
467,510.04107999999997,75.01158000000001,DOPC,2468,Ordered
468,439.12505999999996,73.93159,DOPC,2469,Ordered
469,82.77736,269.6185,DOPC,2470,DOPC CHOL
470,24.753675,236.76894,DOPC,2471,DOPC CHOL
471,178.8367,128.57553000000001,DOPC,2472,DOPC CHOL
472,356.39935,117.57213,DOPC,2473,Ordered
473,106.80266599999999,300.73096,DOPC,2474,DOPC CHOL
474,296.37146,500.35497999999995,DOPC,2475,Ordered
475,139.17155,476.2004,DOPC,2476,Ordered
476,525.1518599999999,47.755835999999995,DOPC,2477,DOPC CHOL
477,455.86895999999996,306.68377999999996,DOPC,2478,DOPC CHOL
478,39.801632,204.17825,DOPC,2479,DOPC CHOL
