,X,Y,Lipid Type,resid,Order
22423,1164.9701,272.19,DPPC,45031,DPPC CHOL
22424,1165.4001,407.25003,DPPC,45032,DPPC CHOL
22425,1402.1901,94.81000999999999,DPPC,45033,DPPC CHOL
22426,1348.45,407.45,DPPC,45034,DOPC CHOL
22427,1490.0402,158.91,DPPC,45035,DOPC CHOL
22428,1715.1702,108.44001000000002,DPPC,45036,DPPC CHOL
22429,1243.1001,115.85000600000001,DPPC,45037,DPPC CHOL
22430,1142.1901,384.7,DPPC,45038,DOPC CHOL
22431,1222.51,201.76001000000002,DPPC,45039,DPPC CHOL
22432,1575.0402,447.63,DPPC,45040,DPPC CHOL
22433,1338.78,346.31,DPPC,45041,DPPC CHOL
22434,1242.9001,541.18005,DPPC,45042,DPPC CHOL
22435,1599.5701,188.33,DPPC,45043,DPPC CHOL
22436,1199.06,177.82,DPPC,45044,DOPC CHOL
22437,1191.8301,536.46,DPPC,45045,DPPC CHOL
22438,1264.2701,303.66,DPPC,45046,DOPC CHOL
22439,1553.5101,474.23004000000003,DPPC,45047,DPPC CHOL
22440,1355.99,430.67,DPPC,45048,DPPC CHOL
22441,1567.3801,652.07,DPPC,45049,DPPC CHOL
22442,1531.7601,467.85004000000004,DPPC,45050,DOPC CHOL
22443,1580.4601,604.39,DPPC,45051,DPPC CHOL
22444,1475.6401,276.36002,DPPC,45052,DPPC CHOL
22445,1270.41,374.31003,DPPC,45053,DOPC CHOL
22446,1577.0801,613.4,DPPC,45054,DOPC CHOL
22447,1239.1401,416.02002000000005,DPPC,45055,DOPC CHOL
22448,1653.4901,458.12,DPPC,45056,DPPC CHOL
22449,1625.67,569.50006,DPPC,45057,DOPC CHOL
22450,1398.34,381.35004,DPPC,45058,DPPC CHOL
22451,1205.5,172.94,DPPC,45059,DPPC CHOL
22452,1439.3601,320.95,DPPC,45060,DOPC CHOL
22453,1196.14,155.3,DPPC,45061,DOPC CHOL
22454,1051.3901,300.41003,DPPC,45062,DPPC CHOL
